zcta10,puma10,pumaname,nameshort,per_in_puma,per_of_puma
10119,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",1,0.001
10128,03805,NYC-Manhattan Community District 8--Upper East Side,Upper East Side,0.96,0.264
10152,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",,0
10153,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",,0
10154,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",,0
10162,03805,NYC-Manhattan Community District 8--Upper East Side,Upper East Side,1,0.008
10165,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",1,0
10167,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",,0
10168,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",,0
10169,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",,0
10170,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",1,0
10171,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",,0
10172,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",,0
10173,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",1,0
10174,03808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Murray Hill, Gramercy & Stuyvesant Town",,0
10177,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",,0
10199,03807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Chelsea, Clinton & Midtown Business District",1,0
10271,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",,0
10278,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",,0
10279,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",,0
10280,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.053
10282,03810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Battery Park City, Greenwich Village & Soho",1,0.032
11004,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",1,0.074
11005,04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Village, Cambria Heights & Rosedale",1,0.01
11101,04101,NYC-Queens Community District 1--Astoria & Long Island City,Astoria & Long Island City,0.603,0.088
11102,04101,NYC-Queens Community District 1--Astoria & Long Island City,Astoria & Long Island City,1,0.196
11103,04101,NYC-Queens Community District 1--Astoria & Long Island City,Astoria & Long Island City,0.995,0.222
11104,04109,NYC-Queens Community District 2--Sunnyside & Woodside,Sunnyside & Woodside,1,0.203
11105,04101,NYC-Queens Community District 1--Astoria & Long Island City,Astoria & Long Island City,1,0.211
11106,04101,NYC-Queens Community District 1--Astoria & Long Island City,Astoria & Long Island City,1,0.223
11109,04109,NYC-Queens Community District 2--Sunnyside & Woodside,Sunnyside & Woodside,1,0.026
11351,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",,0
11354,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",1,0.221
11355,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",1,0.346
11356,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",1,0.094
11357,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",1,0.158
11358,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",0.617,0.093
11359,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",,0
11360,04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone","Flushing, Murray Hill & Whitestone",0.784,0.06
11361,04104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck","Bayside, Douglaston & Little Neck",1,0.245
11362,04104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck","Bayside, Douglaston & Little Neck",1,0.153
11363,04104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck","Bayside, Douglaston & Little Neck",1,0.06
